id_entrega,fecha,ciudad,servicio,distancia_km,costo_base,estado,vehiculo
1001,2026-01-01,Bogotá,Programada,68.0,27831.0,Cancelada,Moto
1002,2026-01-01,Bucaramanga,Programada,20.0,21696.0,En tránsito,Camioneta
1003,2026-01-02,Villavicencio,Express,24.0,9304.0,Cancelada,Moto
1004,2026-01-02,Cali,Express,26.0,8234.0,Entregada,Moto
1005,2026-01-03,Cali,Express,15.0,26779.0,Entregada,Moto
1006,2026-01-03,Ibagué,Programada,13.0,11879.0,Cancelada,Furgón
1007,2026-01-04,Bogotá,Express,28.0,24148.0,En tránsito,Furgón
1008,2026-01-04,Bucaramanga,Programada,70.0,8466.0,En tránsito,Furgón
1009,2026-01-05,Medellín,Estándar,1.0,12013.0,Cancelada,Moto
1010,2026-01-05,Bogotá,Estándar,23.0,12088.0,Entregada,Camioneta
1011,2026-01-06, bogota ,Programada,5.0,12027.0,Pendiente,Furgón
1012,2026-01-06,Ibagué,Programada,45.0,21869.0,En tránsito,Camioneta
1013,2026-01-07,Bucaramanga,Programada,20.0,27860.0,Entregada,Moto
1014,2026-01-07,Bucaramanga,Mismo día,63.0,27759.0,Cancelada,Moto
1015,2026-01-08,Bucaramanga,Mismo día,47.0,23539.0,Entregada,Moto
1016,2026-01-08,Bucaramanga,Mismo día,62.0,10063.0,Entregada,Furgón
1017,2026-01-09,Villavicencio,Programada,51.0,29015.0,Pendiente,Moto
1018,2026-01-09,Bogotá,Estándar,35.0,18552.0,Cancelada,Furgón
1019,2026-01-10,Ibagué,Express,69.0,18649.0,Entregada,Furgón
1020,2026-01-10,Cali,Programada,38.0,22535.0,Pendiente,Furgón
1021,2026-01-11,Villavicencio,Express,76.0,24228.0,Pendiente,Furgón
1022,2026-01-11,Cali,Mismo día,79.0,28824.0,Cancelada,Moto
1023,2026-01-12,Medellín,Mismo día,47.0,,Entregada,Furgón
1024,,Ibagué,Express,54.0,20252.0,Cancelada,Moto
1025,2026-01-13,Bucaramanga,Mismo día,21.0,23638.0,Pendiente,Moto
1026,, bogota ,Express,65.0,11377.0,Cancelada,Moto
1027,2026-01-14,Cali,Programada,54.0,12693.0,En tránsito,Moto
1028,2026-01-14,Bucaramanga,Express,72.0,,Cancelada,Moto
1029,2026-01-15,Villavicencio,Estándar,22.0,6603.0,Pendiente,Moto
1030,2026-01-15,Cali,Programada,63.0,13012.0,Entregada,Moto
1031,2026-01-16,Cali,Programada,38.0,22950.0,Cancelada,Camioneta
1032,2026-01-16,,Estándar,15.0,29404.0,Cancelada,Moto
1033,2026-01-17,Bogotá,Mismo día,14.0,17987.0,En tránsito,Moto
1034,2026-01-17,Villavicencio,Mismo día,45.0,14992.0,Pendiente,Furgón
1035,2026-01-18,Ibagué,Express,26.0,16009.0,En tránsito,Moto
1036,2026-01-18,Bogotá,Programada,9.0,22136.0,Pendiente,Moto
1037,2026-01-19,Ibagué,Programada,34.0,18612.0,Cancelada,Moto
